id;Genero;Edad;Pasajero_frecuente;Tipo_viaje;Clase;Distancia_volada;Comodidad;Servicio_a_bordo;Demora_despegue;Satisfaccion
108169;F;50;SI;Vacaciones;Eco;1166;3;4;5;neutral o insatisfecho
20734;F;30;NO;Negocios;Eco Plus;765;2;2;0;neutral o insatisfecho
106610;F;23;SI;Vacaciones;Eco;589;2;5;6;neutral o insatisfecho
91460;M;56;SI;Negocios;Business;859;4;5;0;satisfecho
92898;F;42;SI;Negocios;Business;134;4;4;0;satisfecho
121308;F;18;NO;Negocios;Eco;1009;4;5;0;neutral o insatisfecho
17667;F;19;NO;Negocios;Eco Plus;1008;1;1;0;satisfecho
7978;F;49;SI;Negocios;Business;3616;4;4;0;satisfecho
95617;F;55;SI;Negocios;Eco;484;3;4;4;satisfecho
51574;F;20;NO;Negocios;Eco;451;3;4;0;satisfecho
70468;M;59;SI;Negocios;Business;2980;5;4;0;satisfecho
119099;M;47;SI;Negocios;Business;1107;4;4;0;satisfecho
30441;M;58;SI;Negocios;Business;3783;4;3;0;satisfecho
22989;F;62;SI;Vacaciones;Eco;817;4;2;0;satisfecho
68068;F;23;SI;Negocios;Business;813;5;3;0;satisfecho
16985;M;40;SI;Negocios;Eco;610;4;2;27;satisfecho
85072;M;23;SI;Negocios;Business;3801;5;4;0;satisfecho
15670;M;45;SI;Negocios;Eco;617;4;5;0;satisfecho
123164;F;54;SI;Negocios;Business;468;1;3;1;satisfecho
123709;F;59;SI;Vacaciones;Eco;214;4;1;0;neutral o insatisfecho
118741;M;54;SI;Vacaciones;Eco;304;3;4;13;neutral o insatisfecho
117757;M;21;SI;Negocios;Business;1670;3;1;125;neutral o insatisfecho
23043;F;44;SI;Negocios;Eco;833;2;5;0;satisfecho
36913;F;19;NO;Negocios;Eco;740;3;5;0;neutral o insatisfecho
2852;F;54;SI;Negocios;Business;491;3;4;13;neutral o insatisfecho
50288;F;47;SI;Negocios;Eco;199;3;3;0;neutral o insatisfecho
29806;F;27;NO;Negocios;Eco;539;5;2;0;neutral o insatisfecho
104066;M;30;SI;Negocios;Eco Plus;1044;4;2;15;neutral o insatisfecho
28871;F;22;NO;Negocios;Eco;605;4;2;0;satisfecho
56733;M;62;SI;Vacaciones;Eco;937;5;3;0;neutral o insatisfecho
90580;M;28;NO;Negocios;Business;404;4;3;31;satisfecho
125172;M;51;SI;Vacaciones;Eco;1089;2;5;0;neutral o insatisfecho
46105;M;29;SI;Negocios;Business;1623;5;4;0;satisfecho
77477;F;35;NO;Negocios;Business;2125;2;4;3;neutral o insatisfecho
53107;F;39;SI;Negocios;Business;2065;4;2;0;neutral o insatisfecho
19580;M;37;SI;Vacaciones;Eco;173;3;4;93;neutral o insatisfecho
6985;F;54;SI;Negocios;Business;1903;4;5;0;satisfecho
89822;F;20;NO;Negocios;Eco;1069;2;4;0;neutral o insatisfecho
87842;F;64;SI;Vacaciones;Eco;214;4;4;81;neutral o insatisfecho
80641;M;43;SI;Vacaciones;Eco;282;2;1;0;neutral o insatisfecho
92882;F;57;SI;Negocios;Business;3259;4;4;0;satisfecho
118847;F;18;NO;Negocios;Eco Plus;304;2;4;44;neutral o insatisfecho
54873;F;39;SI;Negocios;Business;3207;3;4;3;satisfecho
4354;F;50;SI;Negocios;Business;2845;4;3;0;neutral o insatisfecho
122412;M;23;NO;Negocios;Eco;1470;2;5;0;satisfecho
3643;M;61;SI;Negocios;Business;1961;4;4;102;satisfecho
97188;F;48;SI;Vacaciones;Eco;1129;4;3;0;neutral o insatisfecho
38294;M;25;SI;Negocios;Business;2342;4;1;46;satisfecho
5512;M;53;SI;Negocios;Business;431;4;4;6;neutral o insatisfecho
22172;F;29;NO;Negocios;Eco;773;4;1;4;neutral o insatisfecho
90246;M;46;SI;Negocios;Business;721;4;2;39;neutral o insatisfecho
109782;M;24;SI;Vacaciones;Business;1092;2;4;0;neutral o insatisfecho
126750;M;25;SI;Vacaciones;Eco;2521;4;1;0;neutral o insatisfecho
122185;M;49;SI;Negocios;Business;541;5;3;0;satisfecho
16656;M;39;SI;Negocios;Eco;488;3;1;3;neutral o insatisfecho
57284;M;38;SI;Vacaciones;Eco;628;5;5;0;satisfecho
17747;M;52;SI;Vacaciones;Eco;383;1;4;0;satisfecho
46329;M;59;SI;Vacaciones;Eco;420;1;2;5;neutral o insatisfecho
33321;M;31;SI;Negocios;Eco;2409;5;3;0;satisfecho
98812;M;30;SI;Negocios;Business;763;2;5;15;satisfecho
113150;M;40;SI;Negocios;Business;2802;4;4;31;satisfecho
76362;F;40;SI;Vacaciones;Business;931;5;5;93;neutral o insatisfecho
73038;M;43;SI;Vacaciones;Eco;1096;3;5;68;neutral o insatisfecho
62854;F;39;SI;Negocios;Business;2446;5;4;0;satisfecho
13793;F;18;SI;Negocios;Eco Plus;878;4;1;20;satisfecho
23256;M;24;NO;Negocios;Eco;783;1;1;0;neutral o insatisfecho
8997;M;37;SI;Negocios;Business;2214;3;4;28;neutral o insatisfecho
72815;M;25;SI;Negocios;Eco Plus;645;2;2;86;neutral o insatisfecho
115023;M;39;SI;Negocios;Business;308;5;4;4;satisfecho
115148;F;21;NO;Negocios;Eco;337;2;2;137;neutral o insatisfecho
18427;F;59;SI;Negocios;Business;201;4;3;1;satisfecho
76953;F;31;NO;Negocios;Business;1990;5;3;18;neutral o insatisfecho
40956;F;41;NO;Negocios;Eco;601;4;3;1;neutral o insatisfecho
30364;M;30;SI;Negocios;Business;1945;5;3;36;satisfecho
96444;M;44;SI;Negocios;Business;302;4;5;31;satisfecho
31294;M;40;SI;Vacaciones;Eco Plus;770;4;5;22;neutral o insatisfecho
22828;F;22;SI;Negocios;Business;134;3;3;79;neutral o insatisfecho
44254;M;21;NO;Negocios;Eco;118;3;2;0;neutral o insatisfecho
94980;F;24;NO;Negocios;Eco;148;2;1;3;neutral o insatisfecho
65054;M;61;SI;Vacaciones;Eco;282;5;2;0;satisfecho
60207;M;25;NO;Negocios;Eco;1546;2;3;0;neutral o insatisfecho
33312;M;25;NO;Negocios;Eco;1407;5;3;14;satisfecho
29634;F;36;SI;Negocios;Business;1048;3;4;0;neutral o insatisfecho
119122;M;67;SI;Vacaciones;Eco;1020;5;1;0;neutral o insatisfecho
82380;F;38;SI;Negocios;Business;2848;4;4;20;satisfecho
72750;M;26;NO;Negocios;Business;806;2;4;0;satisfecho
38584;M;22;SI;Negocios;Eco Plus;2475;4;1;48;neutral o insatisfecho
84490;M;35;SI;Vacaciones;Eco;2994;2;4;0;neutral o insatisfecho
68561;F;22;NO;Negocios;Business;1616;2;5;0;satisfecho
8949;M;67;SI;Vacaciones;Eco;328;5;4;0;neutral o insatisfecho
118926;F;42;SI;Negocios;Business;1874;5;2;20;satisfecho
14788;F;27;NO;Negocios;Eco;622;5;4;75;neutral o insatisfecho
16996;M;23;SI;Negocios;Business;843;3;2;0;neutral o insatisfecho
98144;F;33;SI;Negocios;Eco;745;3;3;0;neutral o insatisfecho
27994;F;19;SI;Vacaciones;Eco;1616;4;3;2;neutral o insatisfecho
18662;M;19;SI;Vacaciones;Eco;262;1;1;3;neutral o insatisfecho
17541;F;19;SI;Vacaciones;Business;970;1;4;12;neutral o insatisfecho
48059;F;26;SI;Vacaciones;Eco;677;3;1;0;satisfecho
48238;M;38;SI;Vacaciones;Eco;391;2;5;68;neutral o insatisfecho
21101;M;39;SI;Negocios;Eco;227;3;3;42;neutral o insatisfecho
67575;M;39;SI;Negocios;Business;1235;5;2;8;satisfecho
5675;F;27;NO;Negocios;Business;147;2;3;0;neutral o insatisfecho
83603;M;56;SI;Negocios;Business;409;5;4;18;satisfecho
126503;M;67;SI;Vacaciones;Eco;1788;2;3;0;neutral o insatisfecho
97633;M;34;SI;Vacaciones;Eco;748;3;4;129;neutral o insatisfecho
65236;F;38;NO;Negocios;Business;190;1;4;0;satisfecho
126924;F;59;SI;Vacaciones;Business;651;3;2;0;neutral o insatisfecho
122472;F;49;SI;Negocios;Business;3365;5;4;0;satisfecho
27978;M;31;SI;Negocios;Eco;2378;2;1;0;neutral o insatisfecho
43795;F;20;NO;Negocios;Eco;282;2;1;0;neutral o insatisfecho
41892;F;47;SI;Negocios;Business;129;2;4;12;satisfecho
110075;M;76;SI;Negocios;Business;579;3;5;0;neutral o insatisfecho
20727;M;28;SI;Vacaciones;Eco;707;2;4;0;neutral o insatisfecho
49704;M;35;SI;Negocios;Business;3732;4;5;0;satisfecho
72231;M;24;NO;Negocios;Business;919;1;5;10;satisfecho
14415;F;42;SI;Negocios;Business;2632;3;4;23;satisfecho
37387;M;45;SI;Negocios;Business;2931;1;5;0;satisfecho
16687;M;65;SI;Vacaciones;Eco Plus;605;5;4;14;neutral o insatisfecho
57805;F;44;NO;Negocios;Eco;1235;1;3;0;neutral o insatisfecho
109462;M;38;SI;Negocios;Business;3048;4;5;8;satisfecho
48042;M;40;SI;Negocios;Eco;896;1;2;36;neutral o insatisfecho
80276;F;22;NO;Negocios;Eco;746;5;4;27;neutral o insatisfecho
2395;M;21;NO;Negocios;Eco;641;1;5;0;neutral o insatisfecho
72992;M;36;NO;Negocios;Eco;696;4;4;25;neutral o insatisfecho
128704;F;25;SI;Negocios;Business;1464;4;5;0;satisfecho
48103;F;42;NO;Negocios;Eco;236;4;2;1;neutral o insatisfecho
42586;M;34;SI;Negocios;Eco Plus;315;4;5;0;satisfecho
34868;M;63;SI;Negocios;Eco;2248;5;2;14;satisfecho
49890;F;43;SI;Negocios;Business;89;5;3;0;satisfecho
46125;M;28;SI;Negocios;Business;2801;4;3;14;satisfecho
53751;F;53;SI;Negocios;Business;2003;5;4;50;satisfecho
106747;F;39;SI;Negocios;Business;3311;4;1;0;neutral o insatisfecho
58114;M;40;SI;Vacaciones;Eco;589;1;3;27;neutral o insatisfecho
11709;M;39;SI;Negocios;Business;2207;5;5;27;satisfecho
10040;F;60;SI;Negocios;Business;2702;5;5;13;satisfecho
22768;M;36;SI;Negocios;Business;3796;3;4;1;satisfecho
94685;F;27;SI;Negocios;Business;2251;5;4;0;satisfecho
82252;M;48;SI;Negocios;Business;1481;5;4;16;satisfecho
107409;M;48;SI;Negocios;Eco;725;3;2;3;neutral o insatisfecho
58975;M;45;SI;Negocios;Business;1726;4;5;24;satisfecho
53769;M;39;SI;Vacaciones;Eco;1195;2;4;0;neutral o insatisfecho
70818;F;26;SI;Vacaciones;Eco;624;2;4;0;satisfecho
106043;F;53;SI;Negocios;Business;452;3;2;24;neutral o insatisfecho
23641;F;25;SI;Negocios;Eco Plus;911;3;1;0;satisfecho
78571;F;31;SI;Negocios;Business;1977;5;4;3;satisfecho
47292;F;24;SI;Negocios;Business;3903;4;2;0;satisfecho
57557;F;31;NO;Negocios;Business;1597;4;4;22;neutral o insatisfecho
69575;F;47;SI;Negocios;Business;3534;3;2;23;neutral o insatisfecho
31055;M;38;SI;Negocios;Business;641;2;3;44;neutral o insatisfecho
21097;F;23;NO;Negocios;Eco;106;2;1;0;satisfecho
64301;F;30;SI;Negocios;Business;1172;5;5;7;satisfecho
28711;M;51;SI;Negocios;Business;2717;5;2;0;satisfecho
44049;M;66;SI;Vacaciones;Eco;237;3;5;0;neutral o insatisfecho
28237;M;41;SI;Negocios;Business;2034;4;4;0;satisfecho
87248;M;58;SI;Negocios;Business;3463;4;5;118;satisfecho
24702;M;35;SI;Negocios;Eco;397;2;1;0;neutral o insatisfecho
22647;F;60;SI;Negocios;Eco Plus;300;1;3;27;satisfecho
3226;M;58;SI;Negocios;Business;479;5;4;0;satisfecho
85780;F;39;SI;Negocios;Business;620;5;5;5;satisfecho
75117;F;34;SI;Negocios;Business;1846;4;4;0;satisfecho
87138;M;28;SI;Negocios;Eco Plus;594;2;4;5;neutral o insatisfecho
99288;M;57;NO;Vacaciones;Eco;833;5;5;87;neutral o insatisfecho
3755;M;66;SI;Vacaciones;Eco Plus;544;1;1;205;neutral o insatisfecho
1754;F;57;SI;Negocios;Business;364;5;5;7;satisfecho
98857;M;31;SI;Negocios;Eco;1751;3;4;0;neutral o insatisfecho
56195;F;65;SI;Vacaciones;Eco;1569;4;3;0;neutral o insatisfecho
123651;F;22;NO;Negocios;Eco;214;5;3;0;neutral o insatisfecho
38685;F;35;SI;Negocios;Eco Plus;2588;4;5;0;satisfecho
111889;F;41;SI;Negocios;Business;1650;4;1;37;neutral o insatisfecho
117534;F;49;SI;Negocios;Business;1623;4;2;60;satisfecho
62051;M;51;SI;Vacaciones;Eco;2475;1;4;0;neutral o insatisfecho
66913;F;29;SI;Negocios;Business;3170;5;5;0;satisfecho
67653;F;44;SI;Negocios;Business;2267;4;5;0;satisfecho
114848;F;46;SI;Negocios;Business;417;5;5;18;satisfecho
27601;F;50;SI;Vacaciones;Eco;679;3;2;0;neutral o insatisfecho
119359;M;53;SI;Vacaciones;Eco;2089;5;4;4;neutral o insatisfecho
98879;M;37;NO;Negocios;Eco;591;1;4;44;neutral o insatisfecho
35737;M;29;SI;Negocios;Business;2153;5;4;25;satisfecho
10149;M;59;SI;Vacaciones;Eco;1157;3;3;1;neutral o insatisfecho
6384;F;58;NO;Negocios;Eco;315;1;1;0;neutral o insatisfecho
88347;M;46;SI;Negocios;Business;1524;4;5;1;satisfecho
47868;M;56;SI;Negocios;Eco;550;2;4;0;neutral o insatisfecho
108950;M;23;NO;Negocios;Business;542;2;5;24;satisfecho
125872;M;34;SI;Negocios;Eco;993;5;5;56;satisfecho
63749;M;51;SI;Vacaciones;Eco;1660;1;3;3;neutral o insatisfecho
122376;M;37;SI;Negocios;Business;529;4;4;0;neutral o insatisfecho
71429;M;43;SI;Negocios;Business;867;5;4;29;satisfecho
43327;F;36;SI;Negocios;Eco;347;4;1;4;satisfecho
4173;F;23;SI;Vacaciones;Eco;427;2;1;0;neutral o insatisfecho
29753;M;22;NO;Negocios;Eco;199;5;5;0;neutral o insatisfecho
29642;M;43;SI;Vacaciones;Eco;1448;3;3;0;satisfecho
29336;F;40;SI;Vacaciones;Eco;933;1;3;0;satisfecho
48489;M;24;SI;Negocios;Business;833;5;3;34;satisfecho
42095;M;28;SI;Negocios;Eco;898;5;4;0;satisfecho
110095;F;23;NO;Negocios;Eco;1072;1;5;0;neutral o insatisfecho
15130;M;42;SI;Negocios;Business;1678;4;5;0;satisfecho
63826;F;45;SI;Negocios;Business;1192;4;4;0;satisfecho
106999;M;41;SI;Vacaciones;Eco;937;4;4;7;neutral o insatisfecho
89112;F;52;SI;Negocios;Business;1947;3;4;31;neutral o insatisfecho
85863;M;23;NO;Negocios;Eco;920;4;5;9;satisfecho
52230;F;46;NO;Negocios;Eco;370;2;4;0;satisfecho
